cod_provincia,provincia,anio,tasa_actividad,tasa_paro,tasa_empleo,trimestres_disponibles
18,Granada,2021,57.065,22.63,44.155,4
18,Granada,2022,57.415,20.9575,45.370000000000005,4
18,Granada,2023,58.4075,20.5075,46.425,4
18,Granada,2024,56.435,21.435,44.335,4
18,Granada,2025,55.8925,18.5,45.55,4
18,Granada,2026,54.6,15.05,46.38,1
19,Guadalajara,2002,51.685,8.8975,47.082499999999996,4
19,Guadalajara,2003,53.735,8.7475,49.0375,4
19,Guadalajara,2004,56.5575,8.065,52.0025,4
19,Guadalajara,2005,59.085,6.9775,54.962500000000006,4
19,Guadalajara,2006,59.3375,6.6625,55.3825,4
19,Guadalajara,2007,59.3775,5.0024999999999995,56.405,4
19,Guadalajara,2008,60.8825,8.7575,55.535,4
19,Guadalajara,2009,61.760000000000005,13.9125,53.17,4
19,Guadalajara,2010,63.0625,17.2025,52.2225,4
19,Guadalajara,2011,63.08,19.5675,50.7325,4
19,Guadalajara,2012,65.17,22.6375,50.3875,4
19,Guadalajara,2013,64.16499999999999,22.560000000000002,49.667500000000004,4
19,Guadalajara,2014,65.2425,23.265,50.06,4
19,Guadalajara,2015,66.11000000000001,19.295,53.35,4
19,Guadalajara,2016,65.22,17.7875,53.6175,4
19,Guadalajara,2017,64.1975,13.9075,55.269999999999996,4
19,Guadalajara,2018,66.3075,11.4475,58.722500000000004,4
19,Guadalajara,2019,66.83250000000001,12.145,58.7175,4
19,Guadalajara,2020,62.3925,14.870000000000001,53.129999999999995,4
19,Guadalajara,2021,60.7375,12.7475,52.9925,4
19,Guadalajara,2022,62.5225,11.1725,55.53,4
19,Guadalajara,2023,64.0975,9.865,57.7775,4
19,Guadalajara,2024,64.4225,10.875,57.415,4
19,Guadalajara,2025,63.2775,10.497499999999999,56.6275,4
19,Guadalajara,2026,62.15,8.96,56.58,1
20,Gipuzkoa,2002,56.195,7.0075,52.255,4
20,Gipuzkoa,2003,57.1175,6.44,53.435,4
20,Gipuzkoa,2004,57.095,6.7975,53.21,4
20,Gipuzkoa,2005,58.195,5.695,54.879999999999995,4
20,Gipuzkoa,2006,58.835,5.7575,55.447500000000005,4
