Provincias;Tasas;Sexo;Periodo;Total
41 Sevilla;Tasa de actividad;Ambos sexos;2022T2;57,50
41 Sevilla;Tasa de actividad;Ambos sexos;2022T1;57,85
41 Sevilla;Tasa de actividad;Ambos sexos;2021T4;58,43
41 Sevilla;Tasa de actividad;Ambos sexos;2021T3;57,86
41 Sevilla;Tasa de actividad;Ambos sexos;2021T2;58,38
41 Sevilla;Tasa de actividad;Ambos sexos;2021T1;57,15
41 Sevilla;Tasa de actividad;Ambos sexos;2020T4;57,53
41 Sevilla;Tasa de actividad;Ambos sexos;2020T3;56,76
41 Sevilla;Tasa de actividad;Ambos sexos;2020T2;53,94
41 Sevilla;Tasa de actividad;Ambos sexos;2020T1;58,63
41 Sevilla;Tasa de actividad;Ambos sexos;2019T4;59,00
41 Sevilla;Tasa de actividad;Ambos sexos;2019T3;58,79
41 Sevilla;Tasa de actividad;Ambos sexos;2019T2;59,01
41 Sevilla;Tasa de actividad;Ambos sexos;2019T1;58,75
41 Sevilla;Tasa de actividad;Ambos sexos;2018T4;59,39
41 Sevilla;Tasa de actividad;Ambos sexos;2018T3;58,79
